ID,Family,Genus,Species,colonizer/sedentary,P-N colonizer,N-P colonizer,P & N sedentary,Old colonizer - SPS,Old colonizer - GENUS,Confamilial sedentary,Within Nearctic,Within Palaearctic,Cosmopolite
485,FELIDAE,Panthera,Panthera onca,colonizer,1,0,0,0,0,0,1,0,0
486,FELIDAE,Panthera,Panthera pardus,colonizer,1,0,0,0,0,0,0,1,0
487,FELIDAE,Panthera,Panthera tigris,colonizer,1,0,0,0,0,0,0,1,0
488,FELIDAE,Panthera,Panthera uncia,colonizer,1,0,0,0,0,0,0,1,0
489,BOVIDAE,Pantholops,Pantholops hodgsonii,sedentary,0,0,1,0,0,1,0,1,0
490,GEOMYIDAE,Pappogeomys,Pappogeomys alcorni,sedentary,0,0,1,0,0,0,1,0,0
491,GEOMYIDAE,Pappogeomys,Pappogeomys bulleri,sedentary,0,0,1,0,0,0,1,0,0
492,DIPODIDAE,Paradipus,Paradipus ctenodactylus,sedentary,0,0,1,0,0,0,0,1,0
493,VIVERRIDAE,Paradoxurus,Paradoxurus hermaphroditus,sedentary,0,0,1,0,0,0,0,1,0
494,ERINACEIDAE,Paraechinus,Paraechinus aethiopicus,colonizer,0,1,0,0,0,0,0,1,0
495,ERINACEIDAE,Paraechinus,Paraechinus hypomelas,colonizer,0,1,0,0,0,0,0,1,0
496,TALPIDAE,Parascalops,Parascalops breweri,colonizer,0,1,0,0,0,0,1,0,0
497,TAYASSUIDAE,Pecari,Pecari tajacu,sedentary,0,0,1,0,0,0,1,0,0
498,HETEROMYIDAE,Perognathus,Perognathus alticolus,sedentary,0,0,1,0,0,0,1,0,0
499,HETEROMYIDAE,Perognathus,Perognathus amplus,sedentary,0,0,1,0,0,0,1,0,0
500,HETEROMYIDAE,Perognathus,Perognathus fasciatus,sedentary,0,0,1,0,0,0,1,0,0
501,HETEROMYIDAE,Perognathus,Perognathus flavescens,sedentary,0,0,1,0,0,0,1,0,0
502,HETEROMYIDAE,Perognathus,Perognathus flavus,sedentary,0,0,1,0,0,0,1,0,0
503,HETEROMYIDAE,Perognathus,Perognathus inornatus,sedentary,0,0,1,0,0,0,1,0,0
504,HETEROMYIDAE,Perognathus,Perognathus longimembris,sedentary,0,0,1,0,0,0,1,0,0
505,HETEROMYIDAE,Perognathus,Perognathus merriami,sedentary,0,0,1,0,0,0,1,0,0
506,HETEROMYIDAE,Perognathus,Perognathus parvus,sedentary,0,0,1,0,0,0,1,0,0
507,CRICETIDAE,Peromyscus,Peromyscus attwateri,sedentary,0,0,1,0,0,1,1,0,0
508,CRICETIDAE,Peromyscus,Peromyscus aztecus,sedentary,0,0,1,0,0,1,1,0,0
509,CRICETIDAE,Peromyscus,Peromyscus beatae,sedentary,0,0,1,0,0,1,1,0,0
510,CRICETIDAE,Peromyscus,Peromyscus boylii,sedentary,0,0,1,0,0,1,1,0,0
